;University;Train station;Restaurant;Home;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Sony;Computer
Agenda;3;0;0;8;0;8;3;4;1;1;0;0;0;0;11;8
Alarme;0;0;0;8;0;0;0;1;1;0;0;0;1;1;8;8
Appareil photo;5;0;0;3;0;0;0;0;1;0;0;0;0;0;8;3
Calculatrice;7;0;0;0;0;0;0;0;1;0;0;0;0;0;7;10
Drive;2;0;0;14;0;0;0;0;1;0;0;1;11;1;10;23
E-mail;8;0;0;0;0;0;0;0;1;0;0;1;0;1;8;8
Facebook;2;0;0;8;0;0;0;0;0;0;0;1;0;1;2;8
Freebox Mobile;7;0;0;10;10;7;0;0;1;0;0;0;1;1;7;10
Gmail;0;0;0;8;8;0;0;0;1;0;0;1;0;0;0;8
Google;4;2;0;10;12;5;0;0;1;0;0;1;0;1;7;14
Google Play Store;3;0;7;0;7;3;0;0;1;0;0;1;0;1;3;7
Maps;8;0;0;0;0;8;0;0;0;0;0;0;0;1;8;0
Mes fichiers;8;0;0;8;0;0;0;0;1;0;0;1;0;1;8;0
Mise a jour logicielle;8;0;0;0;0;8;0;0;1;0;0;1;0;1;8;0
Skype;0;0;0;8;8;0;0;0;0;0;0;1;0;0;0;8
SMS;7;0;0;25;25;7;0;0;1;1;1;1;1;1;32;0
Telephone;8;7;0;20;0;0;0;0;1;0;0;1;0;1;35;0
Viber;8;0;0;17;17;0;0;0;0;0;0;1;0;0;17;8
World;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;8
YouTube;0;0;0;8;8;0;0;0;0;0;0;1;0;0;0;8
