;University;Home;Transportation;Home Wifi;Network 3G;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 
Appareil photo;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
BNP PARIBAS;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Google;1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
E-mail;0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Facebook;1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
Maps;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Notes;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Skype;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
SMS;1; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
SnapChat;1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 
Spotify;1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
Telephone;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Twitter;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
YouTube;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
