;University;Cinema;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
AlloCine;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
BBM;0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 
Flappy Bird;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Instagram;1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Photos;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
SMS;0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 0; 
SnapChat;0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
Telephone;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Twitter;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
WhatsApp;1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 
