;University;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G;Smartphone Samsung
Agenda;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 
Alarme;0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 
Appareil photo;1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 1; 1; 1; 
Drive;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Facebook;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Gestion de taches;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Gmail;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Google;1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
Maps;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
Mes fichiers;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 
SMS;1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Telephone;1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 
